au_id,managed_curve_id,age,volume,height,dbhq,tph,gross_yield,crown_cover
cwh_dm_x_cw_fdc,60014,130,1227.4,42.3,,,1454.9,93.5
cwh_dm_x_cw_fdc,60014,140,1281.9,43.5,,,1534.0,93.0
cwh_dm_x_cw_fdc,60014,150,1330.0,44.6,,,1606.2,92.5
cwh_dm_x_cw_fdc,60014,160,1372.0,45.6,,,1671.8,92.0
cwh_dm_x_cw_fdc,60014,170,1411.4,46.5,,,1733.6,91.4
cwh_dm_x_cw_fdc,60014,180,1445.7,47.2,,,1789.4,90.9
cwh_dm_x_cw_fdc,60014,190,1474.8,48.0,,,1839.4,90.4
cwh_dm_x_cw_fdc,60014,200,1498.5,48.6,,,1885.3,89.8
cwh_dm_x_cw_fdc,60014,210,1518.0,49.2,,,1926.8,89.3
cwh_dm_x_cw_fdc,60014,220,1534.7,49.8,,,1964.9,88.8
cwh_dm_x_cw_fdc,60014,230,1549.1,50.3,,,1999.9,88.3
cwh_dm_x_cw_fdc,60014,240,1562.2,50.8,,,2033.3,87.8
cwh_dm_x_cw_fdc,60014,250,1574.1,51.2,,,2065.4,87.2
cwh_dm_x_cw_fdc,60014,260,1583.8,51.6,,,2095.5,86.7
cwh_dm_x_cw_fdc,60014,270,1592.0,52.0,,,2123.4,86.2
cwh_dm_x_cw_fdc,60014,280,1598.7,52.4,,,2149.5,85.7
cwh_dm_x_cw_fdc,60014,290,1603.3,52.7,,,2172.2,85.2
cwh_dm_x_cw_fdc,60014,300,1606.9,53.0,,,2192.1,84.7
cwh_dm_x_cw_fdc,60014,310,1609.5,53.3,,,2210.8,84.2
cwh_dm_x_cw_fdc,60014,320,1611.1,53.6,,,2228.3,83.7
cwh_dm_x_cw_fdc,60014,330,1611.9,53.8,,,2244.7,83.2
cwh_dm_x_cw_fdc,60014,340,1612.6,54.1,,,2260.4,82.7
cwh_dm_x_cw_fdc,60014,350,1612.7,54.3,,,2275.3,82.2
cwh_vm_2_cw_hw,60015,0,0.0,0.0,,,0.0,0.0
cwh_vm_2_cw_hw,60015,10,0.0,3.8,,,0.7,16.6
cwh_vm_2_cw_hw,60015,20,14.0,10.2,,,46.9,87.8
cwh_vm_2_cw_hw,60015,30,173.1,16.2,,,216.2,98.1
cwh_vm_2_cw_hw,60015,40,358.8,21.5,,,414.8,97.9
cwh_vm_2_cw_hw,60015,50,538.7,26.0,,,607.4,97.5
